CRASH DATE,ACCIDENT_COUNT,TOTAL_INJURIES
2015-01-18,961,228.0
2015-01-19,496,102.0
2015-01-20,500,92.0
2015-01-21,495,80.0
2015-01-22,508,98.0
2015-01-23,598,117.0
2015-01-24,428,66.0
2015-01-25,406,107.0
2015-01-26,484,80.0
2015-01-27,188,21.0
2015-01-28,458,89.0
2015-01-29,519,90.0
2015-01-30,622,101.0
2015-01-31,526,99.0
2015-02-01,361,65.0
2015-02-02,680,122.0
2015-02-03,740,140.0
2015-02-04,585,123.0
2015-02-05,569,98.0
2015-02-06,652,98.0
2015-02-07,449,116.0
2015-02-08,394,85.0
2015-02-09,547,111.0
2015-02-10,571,114.0
2015-02-11,610,131.0
2015-02-12,526,110.0
2015-02-13,757,147.0
2015-02-14,436,69.0
2015-02-15,454,87.0
2015-02-16,403,74.0
2015-02-17,620,109.0
2015-02-18,626,123.0
2015-02-19,515,78.0
2015-02-20,621,114.0
2015-02-21,517,93.0
2015-02-22,519,117.0
2015-02-23,574,93.0
2015-02-24,580,107.0
2015-02-25,628,138.0
2015-02-26,539,92.0
2015-02-27,703,120.0
2015-02-28,538,131.0
2015-03-01,693,134.0
2015-03-02,650,125.0
2015-03-03,631,95.0
2015-03-04,574,78.0
2015-03-05,830,91.0
2015-03-06,939,142.0
2015-03-07,578,106.0
2015-03-08,464,115.0
2015-03-09,661,155.0
2015-03-10,584,144.0
2015-03-11,565,132.0
2015-03-12,586,112.0
2015-03-13,609,158.0
2015-03-14,507,137.0
2015-03-15,459,94.0
2015-03-16,529,99.0
2015-03-17,528,106.0
2015-03-18,547,113.0
2015-03-19,582,110.0
2015-03-20,570,154.0
2015-03-21,508,119.0
2015-03-22,432,125.0
2015-03-23,586,100.0
2015-03-24,601,120.0
2015-03-25,538,154.0
2015-03-26,525,132.0
2015-03-27,532,84.0
2015-03-28,459,90.0
2015-03-29,505,102.0
2015-03-30,556,138.0
2015-03-31,628,117.0
2015-04-01,648,140.0
2015-04-02,653,130.0
2015-04-03,491,109.0
2015-04-04,507,135.0
2015-04-05,422,128.0
2015-04-06,510,110.0
2015-04-07,452,105.0
2015-04-08,457,82.0
2015-04-09,452,87.0
2015-04-10,486,128.0
2015-04-11,576,130.0
2015-04-12,443,129.0
2015-04-13,554,126.0
2015-04-14,542,115.0
2015-04-15,595,148.0
2015-04-16,560,113.0
2015-04-17,679,181.0
2015-04-18,605,182.0
2015-04-19,471,139.0
2015-04-20,630,138.0
2015-04-21,645,142.0
2015-04-22,568,113.0
2015-04-23,612,120.0
2015-04-24,676,150.0
2015-04-25,592,156.0
2015-04-26,477,141.0
2015-04-27,558,118.0
2015-04-28,613,123.0
2015-04-29,679,175.0
2015-04-30,640,131.0
2015-05-01,642,148.0
2015-05-02,540,132.0
2015-05-03,555,153.0
2015-05-04,641,156.0
2015-05-05,638,138.0
2015-05-06,568,102.0
2015-05-07,684,151.0
2015-05-08,709,172.0
2015-05-09,560,124.0
2015-05-10,549,193.0
2015-05-11,645,173.0
2015-05-12,684,176.0
2015-05-13,655,157.0
2015-05-14,654,172.0
2015-05-15,723,161.0
2015-05-16,650,180.0
2015-05-17,543,199.0
2015-05-18,566,115.0
2015-05-19,606,139.0
2015-05-20,666,151.0
2015-05-21,615,131.0
2015-05-22,727,170.0
2015-05-23,546,137.0
2015-05-24,432,126.0
2015-05-25,420,121.0
2015-05-26,686,144.0
2015-05-27,697,159.0
